theme;author;views;messages;timestamp;last_editor
Экзаменационные вопросы весенний семестр;Ждун;4548;2;1493917680;zzz
Сортировки;nadnik;3556;2;1493788080;zzz
Дерево выражений(материал лекции);nadnik;4772;3;1492200660;nadnik
Linux. Обработка текстов ...;zzz;3771;2;1492186020;asder4
Десятка лучших программистов курса. Сезон 2016/17;zzz;18306;14;1486299840;zzz
Конспект лекций по архитектуре компьютера;Haxbrand;3402;1;1478714940;Haxbrand
Шахматная программа на C++;sovaz1997;3276;1;1478531160;sovaz1997
Пересдача экзамена по информатике за весну 2016;zzz;16971;13;1476778260;Иван Раскатов
Присутственные часы;sultanchoko;23416;18;1476529320;zzz
Задания к ЛР №№ 20-21 на весенний семестр 2010/11 уч. года;zzz;13870;9;1476122940;zzz
Ещё один диаграммер Тьюринга от Дзюбы Д.В.!;zzz;3770;1;1475939160;zzz
Темы курсовых работ;Диофант;4203;2;1475935500;zzz
Эмулятор МТ в четверках для Linux.;chingachgook;5337;3;1474804980;zzz
Лицензионное ПО Microsoft для студентов МАИ;zzz;18109;10;1474103520;Nikolay123
Машина Тьюринга на C++;sovaz1997;23379;13;1473869220;sovaz1997
Конспект лекций.;pl9lar;15198;8;1473253440;asder4
Программирование;asder4;4081;2;1472986920;zzz
Расписание занятий групп 106 и 102;zzz;3233;1;1472573220;zzz
Летняя практика 2016;fler;19827;15;1471277220;zzz
Редактор графов;zzz;3368;1;1467396540;zzz
Визуализаторы алгоритмов + сортировок;Timfoxmf;2952;1;1467231060;Timfoxmf
Экзамены по ЯМП 25 и 26 июня 2016 г. ...;zzz;3156;1;1466784420;zzz
Консультация к экзамену 25 и 26 июня 2016;zzz;2953;1;1466662140;zzz
Программа для визуализации сортировок;sovaz1997;2875;1;1466607960;sovaz1997
Перенос зачёта;zzz;3109;1;1464718140;zzz
Программа передач на завтра (25 мая 2016 г.);zzz;3200;1;1464106020;zzz
Bash на MS Windows 10;zzz;4286;2;1460650020;sovaz1997
Пересдача экзамена по информатике за осень 2015;ardpavel;10892;7;1458475380;zzz
Материалы к ЛР № 23 (2012 г.);zzz;13564;5;1457255520;sovaz1997
Пересдача;Sag22;4101;2;1456934820;zzz
Расписание 2 семестра;Volga;7966;5;1455026700;zzz
Консультация по информатике;PasWD;4133;2;1453381440;zzz
Пропуск студентки ...;zzz;3600;1;1452532080;zzz
Пропуск студентки ...;-;7036;4;1452031260;zzz
Рейтинговый зачёт по архитектуре компьютеров ...;zzz;3283;1;1451487960;zzz
Десятка лучших программистов курса. Сезон 2015/16 г.;zzz;15832;10;1449320640;zzz
Пересдача экзамена. II семестр 2014/15 уч. года;zzz;14356;10;1448114700;zzz
Видео книги с параллельным переводом;watch;3058;1;1447992420;watch
Академический день Microsoft 11 ноября 2015 г.;zzz;4316;2;1447319520;zzz
Предварительное расписание занятий I курса 8 факультета на осенний семестр 2015/16 учебного года;zzz;29087;14;1443028080;zzz
Распределение по группам первокурсников 8 факультета (приём 2015 г., бакалавриат).;zzz;17906;9;1440958140;zzz
Учебная практика 2015;nas7788100;19339;13;1438161120;MelanieAlexBat
Консультация 26 июня 2015 г.;zzz;3594;1;1435064640;zzz
Защита зачетов;Jfxd;6117;3;1433322720;Jfxd
Простое и понятное введение в язык Go (Golang);w-495;6935;3;1433106720;w-495
24, 25, 26 лабы;nikki;5039;2;1433013000;fircocs
Последняя пересдача;zzz;10102;6;1430849340;Nikolay123
Задание на февраль 2015 г.;zzz;4110;1;1423415280;zzz
Расписание занятий на весенний семестр 2014/15 уч. года;zzz;4277;1;1422788520;zzz
Результаты экзаменов за осень 2014;zzz;5488;1;1421931840;zzz
Экзамены и консультации в январе-феврале-марте 2015 г.;zzz;4464;1;1421586240;zzz
Экзаменационные вопросы за осень 2014;nas7788100;5418;2;1420804980;zzz
Вопросы к зачету № V по архитектуре компьютеров;Luda;15476;6;1419617340;zzz
Находки в 438 ГУК "Б";zzz;6544;3;1417093440;zzz
День технологий Microsoft 2014;zzz;7810;4;1416481320;zzz
Лучшие программисты I курса ...;zzz;11447;6;1415383740;zzz
Материалы к ЛР № 14 (2011 г.);zzz;10138;2;1414764300;zzz
Пересдача экзамена. II семестр 2013/14 уч. года.;zzz;11398;6;1414685220;zzz
Кто забыл мышку?;zzz;3540;1;1414505100;zzz
Почему хорошо участвовать в олимпиадах;w-495;3985;1;1413529800;w-495
